Date,Obs
1970-10-31,0.32
1970-11-01,0.32
1970-11-02,0.66
1970-11-03,0.59
1970-11-04,0.45
1970-11-05,0.39
1970-11-06,0.33
1970-11-07,0.36
1970-11-08,0.37
1970-11-09,0.33
1970-11-10,0.29
1970-11-11,0.31
1970-11-12,0.32
1970-11-13,0.39
1970-11-14,0.39
1970-11-15,0.37
1970-11-16,0.52
1970-11-17,0.58
1970-11-18,1.25
1970-11-19,3.18
1970-11-20,1.87
1970-11-21,1.6
1970-11-22,0.99
1970-11-23,0.87
1970-11-24,1.1
1970-11-25,0.79
1970-11-26,0.74
1970-11-27,0.53
1970-11-28,0.74
1970-11-29,1.69
1970-11-30,3.72
1970-12-01,1.71
1970-12-02,1.26
1970-12-03,1.04
1970-12-04,1.76
1970-12-05,1.55
1970-12-06,1.55
1970-12-07,1.64
1970-12-08,1.19
1970-12-09,0.99
1970-12-10,0.91
1970-12-11,0.85
1970-12-12,0.69
1970-12-13,0.85
1970-12-14,0.69
1970-12-15,0.69
1970-12-16,0.63
1970-12-17,0.63
1970-12-18,0.61
1970-12-19,0.56
1970-12-20,0.58
1970-12-21,0.53
1970-12-22,0.53
1970-12-23,0.53
1970-12-24,0.53
1970-12-25,0.53
1970-12-26,0.53
1970-12-27,0.53
1970-12-28,0.53
1970-12-29,0.69
1970-12-30,1.23
1970-12-31,0.92
1971-01-01,0.65
1971-01-02,0.69
1971-01-03,0.66
1971-01-04,0.63
1971-01-05,0.61
1971-01-06,0.61
1971-01-07,0.67
1971-01-08,2.37
1971-01-09,1.9
1971-01-10,1.29
1971-01-11,1.09
1971-01-12,0.96
1971-01-13,0.86
1971-01-14,0.8
1971-01-15,0.85
1971-01-16,1.11
1971-01-17,1.19
1971-01-18,1.12
1971-01-19,1.12
1971-01-20,1.05
1971-01-21,2.26
1971-01-22,1.83
1971-01-23,5.12
1971-01-24,8.63
1971-01-25,3.65
1971-01-26,3.78
1971-01-27,5.41
1971-01-28,3.35
1971-01-29,2.42
1971-01-30,2.73
1971-01-31,4.05
1971-02-01,3.13
1971-02-02,2.28
1971-02-03,1.92
1971-02-04,1.74
1971-02-05,1.61
1971-02-06,1.54
1971-02-07,1.55
1971-02-08,1.55
1971-02-09,1.51
1971-02-10,1.51
1971-02-11,1.48
1971-02-12,1.48
1971-02-13,1.44
1971-02-14,1.38
1971-02-15,1.45
1971-02-16,1.38
1971-02-17,1.37
1971-02-18,1.41
1971-02-19,1.35
1971-02-20,1.38
1971-02-21,1.36
1971-02-22,1.3
1971-02-23,1.25
1971-02-24,1.21
1971-02-25,1.19
1971-02-26,1.18
1971-02-27,1.18
1971-02-28,1.18
1971-03-01,1.19
1971-03-02,1.44
1971-03-03,1.84
1971-03-04,1.54
1971-03-05,1.39
1971-03-06,1.35
1971-03-07,1.31
1971-03-08,1.28
1971-03-09,1.25
1971-03-10,1.19
1971-03-11,1.19
1971-03-12,1.15
1971-03-13,1.15
1971-03-14,1.15
1971-03-15,1.15
1971-03-16,1.12
1971-03-17,1.23
1971-03-18,2.59
1971-03-19,2.76
1971-03-20,2.72
1971-03-21,3.03
1971-03-22,2.23
1971-03-23,1.75
1971-03-24,1.77
1971-03-25,1.83
1971-03-26,1.65
1971-03-27,1.37
1971-03-28,1.33
1971-03-29,1.29
1971-03-30,1.21
1971-03-31,1.15
1971-04-01,1.12
1971-04-02,1.06
1971-04-03,1.05
1971-04-04,1.0
1971-04-05,0.99
1971-04-06,0.95
1971-04-07,0.94
1971-04-08,0.91
1971-04-09,0.88
1971-04-10,0.85
1971-04-11,0.82
1971-04-12,0.82
1971-04-13,0.75
1971-04-14,0.68
1971-04-15,0.71
1971-04-16,0.74
1971-04-17,0.71
1971-04-18,0.69
1971-04-19,0.68
1971-04-20,0.66
1971-04-21,0.59
1971-04-22,0.64
1971-04-23,0.89
1971-04-24,2.93
1971-04-25,6.01
1971-04-26,2.62
1971-04-27,1.77
1971-04-28,1.33
1971-04-29,1.23
1971-04-30,1.08
1971-05-01,0.99
1971-05-02,0.96
1971-05-03,0.91
1971-05-04,0.88
1971-05-05,0.88
1971-05-06,0.83
1971-05-07,0.91
1971-05-08,0.88
1971-05-09,0.83
1971-05-10,0.74
1971-05-11,0.8
1971-05-12,0.8
1971-05-13,0.8
1971-05-14,0.77
1971-05-15,0.76
1971-05-16,0.8
1971-05-17,0.8
1971-05-18,0.8
1971-05-19,0.74
1971-05-20,0.77
1971-05-21,0.77
1971-05-22,0.8
1971-05-23,0.85
1971-05-24,0.85
1971-05-25,0.8
1971-05-26,0.8
1971-05-27,0.8
1971-05-28,0.8
1971-05-29,0.8
1971-05-30,0.82
1971-05-31,0.93
1971-06-01,0.73
1971-06-02,0.72
1971-06-03,0.82
1971-06-04,0.73
1971-06-05,0.7
1971-06-06,0.69
1971-06-07,0.71
1971-06-08,0.66
1971-06-09,0.69
1971-06-10,0.84
1971-06-11,0.86
1971-06-12,0.86
1971-06-13,0.67
1971-06-14,0.69
1971-06-15,0.69
1971-06-16,0.69
1971-06-17,0.69
1971-06-18,0.69
1971-06-19,0.94
1971-06-20,1.99
1971-06-21,1.27
1971-06-22,1.06
1971-06-23,0.7
1971-06-24,0.69
1971-06-25,0.66
1971-06-26,0.66
1971-06-27,0.66
1971-06-28,0.61
1971-06-29,0.61
1971-06-30,0.61
